"GEOID10","n_hhs","n_new_zv","n_new_iv","n_new_sv","n_gained_veh","n_lost_veh"
"250173524002021",87,0,0,0,1,0
"250173531011000",86,0,0,0,0,1
"250173531011010",201,0,0,0,1,0
"250173738001004",220,0,0,0,1,0
"250173738002007",52,0,0,0,1,0
"250214001001014",48,0,0,0,1,0
"250214001002000",143,0,0,0,1,0
"250214001002001",158,0,0,0,1,0
"250214001003000",64,0,0,0,2,0
"250214001003003",251,0,0,0,2,0
"250214001003004",337,0,0,0,4,0
"250214001003009",147,0,0,0,1,0
"250214001004003",113,0,0,0,1,0
"250214001004017",24,0,0,0,1,0
"250214002001007",402,0,0,0,2,0
"250214002002003",86,0,0,0,1,0
"250214002002004",75,0,0,0,1,0
"250214002002005",176,0,0,0,1,0
"250214002002012",39,0,0,0,1,0
"250214002002020",239,0,0,0,3,0
"250214002003000",154,0,0,0,1,0
"250214003002000",315,0,0,0,1,0
"250214003003000",27,0,0,0,1,0
"250214003003004",95,0,0,0,1,0
"250214003003009",99,0,0,0,1,0
"250214004001001",405,0,0,0,1,0
"250214004001002",117,0,0,0,1,0
"250214004001008",179,0,0,0,1,0
"250214004002003",186,0,0,0,1,0
"250214004002004",237,0,0,0,1,0
"250214004002011",35,0,0,0,1,0
"250214004003002",100,0,0,0,1,0
"250214004003006",44,0,0,0,1,0
"250214004003011",9,0,0,0,1,0
"250214005001000",222,0,0,0,3,0
"250214005001002",372,0,0,0,2,0
"250214005001004",111,0,0,0,1,0
"250214005001005",78,0,0,0,1,0
"250214005001006",85,0,0,0,2,0
"250214005003009",69,0,0,0,1,0
"250214006001004",163,0,0,0,1,0
"250214006002003",83,0,0,0,1,0
"250214006002005",213,0,0,0,1,0
"250214006002006",1,0,0,0,1,0
"250214006002009",61,0,0,0,1,0
"250214006002010",64,0,0,0,1,0
"250214006002022",114,0,0,0,2,0
"250214006002028",36,0,0,0,1,0
"250214007001000",295,0,0,0,1,0
"250214007002003",191,0,0,0,1,0
"250214008001001",166,0,0,0,1,0
"250214008001002",226,0,0,0,3,0
"250214008002002",66,0,0,0,1,0
"250214008002005",148,0,0,0,2,0
"250214008002009",281,0,0,0,2,0
"250214008003000",309,0,0,0,1,0
"250214008003004",77,0,0,0,1,0
"250214008003008",236,0,0,0,2,0
"250214009001005",838,0,0,0,2,0
"250214009002002",160,0,0,0,1,0
"250214009003000",43,0,0,0,3,0
"250214009003002",46,0,0,0,1,0
"250214009003012",120,0,0,0,2,0
"250214009003013",76,0,0,0,3,0
"250214010002004",35,0,0,0,1,0
"250214010003012",42,0,0,0,1,0
"250214011001006",266,0,0,0,1,0
"250250004012001",139,0,0,0,1,0
"250250004014002",626,0,0,0,1,0
"250250005021003",76,0,0,0,1,0
"250250005023002",83,0,0,0,1,0
"250250005023005",391,0,0,0,1,0
"250250005032008",184,0,0,0,3,0
"250250005042004",404,0,0,0,2,0
"250250005043005",160,0,0,0,2,0
"250250005044003",113,0,0,0,1,0
"250250007012001",202,0,0,0,1,0
"250250007031010",120,0,0,0,1,0
"250250007031011",305,0,0,0,1,0
"250250007043000",244,0,0,0,1,0
"250250007044001",420,0,0,0,1,0
"250250008025004",186,0,0,0,1,0
"250250008025006",278,0,0,0,1,0
"250250101031007",301,0,0,0,4,0
"250250101033000",59,0,0,0,1,0
"250250101033012",40,0,0,0,3,0
"250250101041000",238,0,0,0,2,0
"250250101041001",106,0,0,0,2,0
"250250101041002",136,0,0,0,1,0
"250250101041006",235,0,0,0,4,0
"250250101042005",159,0,0,0,2,0
"250250101042010",61,0,0,0,1,0
"250250101042011",154,0,0,0,3,0
"250250101042013",168,0,0,0,4,0
"250250101043008",123,0,0,0,6,0
"250250101043017",460,0,0,0,6,0
"250250101043019",96,0,0,0,3,0
"250250102031007",444,0,0,0,7,0
"250250102031010",227,0,0,0,3,0
"250250102032001",291,0,0,0,3,0
"250250102032002",644,0,0,0,9,0
"250250102032004",324,0,0,0,1,0
"250250102032005",128,0,0,0,1,0
"250250102032006",239,0,0,0,2,0
"250250102032008",374,0,0,0,1,0
"250250102034002",152,0,0,0,1,0
"250250102034003",496,0,0,0,5,0
"250250102041001",27,0,0,0,1,0
"250250102041002",27,0,0,0,1,0
"250250102041003",126,0,0,0,2,0
"250250102041004",61,0,0,0,2,0
"250250102042002",94,0,0,0,1,0
"250250102042003",125,0,0,0,1,0
"250250102042005",76,0,0,0,1,0
"250250102042008",36,0,0,0,2,0
"250250102042009",63,0,0,0,1,0
"250250102043003",110,0,0,0,3,0
"250250102043008",335,0,0,0,3,0
"250250103001007",122,0,0,0,1,0
"250250103002000",129,0,0,0,2,0
"250250104032002",465,0,0,0,1,0
"250250104033000",499,0,0,0,3,0
"250250104041000",436,0,0,0,1,0
"250250104042000",191,0,0,0,1,0
"250250104052000",121,0,0,0,1,0
"250250104052001",101,0,0,0,1,0
"250250104052008",77,0,0,0,1,0
"250250104053002",216,0,0,0,0,1
"250250104081004",279,0,0,0,2,0
"250250105002001",305,0,0,0,1,0
"250250106001005",180,0,0,0,1,0
"250250106001014",551,0,0,0,1,0
"250250107011005",88,0,0,0,1,0
"250250107012000",130,0,0,0,1,0
"250250107013009",49,0,0,0,1,0
"250250107021006",87,0,0,0,1,0
"250250107021008",4,0,0,0,1,0
"250250107021009",191,0,0,0,1,0
"250250107022001",100,0,0,0,1,0
"250250107023009",45,0,0,0,1,0
"250250108012003",204,0,0,0,1,0
"250250108021002",96,0,0,0,1,0
"250250108021003",132,0,0,0,2,0
"250250108022001",169,0,0,0,3,0
"250250108022002",221,0,0,0,3,0
"250250108022003",199,0,0,0,3,0
"250250108022004",179,0,0,0,1,0
"250250108022005",152,0,0,0,2,0
"250250201014000",154,0,0,0,1,0
"250250202002002",121,0,0,0,0,1
"250250202002004",210,0,0,0,0,1
"250250203032041",295,0,0,0,1,0
"250250304002002",178,0,0,0,1,0
"250250406002001",58,0,0,0,0,1
"250250703001012",231,0,0,0,2,0
"250250810011016",37,0,0,0,1,0
"250250810012009",372,0,0,0,2,0
"250250810013000",130,0,0,0,0,1
"250250810013001",76,0,0,0,0,1
"250250811003000",254,0,0,0,1,0
